Dataset,Column,Null Values,Empty Strings,Total Missing,Missing Percentage
Providers,ZIP,0,0,0,0.0
Providers,LAT,0,0,0,0.0
Providers,LON,0,0,0,0.0
Providers,UTILIZATION,0,0,0,0.0
Payer Transitions,PATIENT,0,0,0,0.0
Payer Transitions,START_YEAR,0,0,0,0.0
Payer Transitions,END_YEAR,0,0,0,0.0
Payer Transitions,PAYER,0,0,0,0.0
Payer Transitions,OWNERSHIP,0,236,236,6.21
Careplans,Id,0,0,0,0.0
Careplans,START,0,0,0,0.0
Careplans,STOP,1532,0,1532,43.99
Careplans,PATIENT,0,0,0,0.0
Careplans,ENCOUNTER,0,0,0,0.0
Careplans,CODE,0,0,0,0.0
Careplans,DESCRIPTION,0,0,0,0.0
Careplans,REASONCODE,327,0,327,9.39
Careplans,REASONDESCRIPTION,327,0,327,9.39
Devices,START,0,0,0,0.0
Devices,STOP,78,0,78,100.0
Devices,PATIENT,0,0,0,0.0
Devices,ENCOUNTER,0,0,0,0.0
Devices,CODE,0,0,0,0.0
Devices,DESCRIPTION,0,0,0,0.0
Devices,UDI,0,0,0,0.0
Imaging Studies,Id,0,0,0,0.0
Imaging Studies,DATE,0,0,0,0.0
Imaging Studies,PATIENT,0,0,0,0.0
Imaging Studies,ENCOUNTER,0,0,0,0.0
Imaging Studies,BODYSITE_CODE,0,0,0,0.0
Imaging Studies,BODYSITE_DESCRIPTION,0,0,0,0.0
Imaging Studies,MODALITY_CODE,0,0,0,0.0
Imaging Studies,MODALITY_DESCRIPTION,0,0,0,0.0
Imaging Studies,SOP_CODE,0,0,0,0.0
Imaging Studies,SOP_DESCRIPTION,0,0,0,0.0
